time,M01.VELOC,M02.VELOC,M03.VELOC,M04.VELOC,M05.VELOC,M06.VELOC,M07.VELOC,M08.VELOC,M11.VELOC,M12.VELOC,PIC_6101.PV(Bar),PIC_6101.SP(Bar),PIC_6101.MV(%),LIC_3101.PV(%),LIC_3101.SP(%),LIC_3101.MV(%),PIC_3101.PV(Bar),PIC_3101.SP(Bar),PIC_3101.MV(%),FIT_5101.PV(Ton/h),LIT_3101.PV(%),PIT_2101.PV(Bar),PIT_6101.PV(mm2H2O),TT_2101.PV(ºC),TT_5101.PV(ºC),TT_6101.PV(ºC),TT_6102.PV(ºC),TT_6103.PV(ºC),FIC_2101.PV(m3/h),FIC_2101.SP(m3/h),FIC_2101.MV(%),AUXILIAR_VAZAO_COMPENSADA,FIT_5101.PV(kg/s),PIT_6101.PV(Pa),FIC_2101.PV(kg/s),FIC_2101.SP(kg/s)
20000,19.929,14.971,21.394,0,47.073,0,17.124,0,0,0,-4.915,-5.03,33.2,57.118,58,52.673,10.736,10.5,35.651,2.077,57.118,9.648,-4.915,69.954,185.563,37.109,470.486,131.738,2.687,2.611,78.461,1.972,0.576944,-48.1997,0.746389,0.725278
20001,19.944,15.029,21.467,0,47.043,0,17.197,0,0,0,-4.948,-5.03,33.218,57.107,58,52.718,10.734,10.5,35.713,2.078,57.107,9.641,-4.93,69.954,185.563,37.109,471.267,131.738,2.647,2.622,78.411,1.973,0.577222,-48.3468,0.735278,0.728333
20002,19.958,15.073,21.533,0,47.043,0,17.197,0,0,0,-4.93,-5.03,33.238,57.086,58,52.789,10.73,10.5,35.82,2.074,57.086,9.632,-4.926,69.954,185.563,37.109,471.528,131.657,2.635,2.632,78.411,1.969,0.576111,-48.3076,0.731944,0.731111
20003,19.958,15.088,21.577,0,47.058,0,17.256,0,0,0,-4.926,-5.03,33.259,57.064,58,52.861,10.728,10.5,35.881,2.068,57.064,9.633,-4.973,69.954,185.563,37.077,471.788,131.657,2.625,2.64,78.424,1.963,0.574444,-48.7685,0.729167,0.733333
20004,19.973,15.125,21.606,0,47.058,0,17.285,0,0,0,-4.944,-5.03,33.275,57.038,58,52.943,10.726,10.5,35.944,2.064,57.038,9.598,-4.923,69.954,185.563,37.077,472.135,131.592,2.63,2.652,78.441,1.959,0.573333,-48.2781,0.730556,0.736667
20005,19.988,15.154,21.636,0,47.073,0,17.322,0,0,0,-4.923,-5.03,33.291,57.02,58,53.005,10.723,10.5,36.052,2.06,57.02,9.59,-4.908,69.954,185.563,37.077,472.396,131.576,2.635,2.661,78.461,1.955,0.572222,-48.131,0.731944,0.739167
20006,19.988,15.183,21.68,0,47.073,0,17.351,0,0,0,-4.908,-5.03,33.314,57.02,58,53.011,10.72,10.5,36.113,2.057,57.02,9.582,-4.941,69.954,185.563,37.077,472.656,131.576,2.645,2.659,78.469,1.952,0.571389,-48.4547,0.734722,0.738611
20007,20.002,15.212,21.746,0,47.073,0,17.395,0,0,0,-4.941,-5.03,33.327,57.028,58,52.996,10.718,10.5,36.175,2.055,57.028,9.587,-4.865,69.922,185.579,37.077,472.917,131.657,2.655,2.654,78.466,1.95,0.570833,-47.7094,0.7375,0.737222
20008,20.032,15.227,21.76,0,47.073,0,17.395,0,0,0,-4.865,-5.03,33.384,57.038,58,52.97,10.715,10.5,36.258,2.056,57.038,9.602,-4.865,69.922,185.563,37.077,473.264,131.657,2.659,2.65,78.46,1.95,0.571111,-47.7094,0.738611,0.736111
20009,20.054,15.227,21.775,0,47.073,0,17.41,0,0,0,-4.872,-5.03,33.408,57.049,58,52.944,10.713,10.5,36.279,2.062,57.049,9.593,-4.872,69.922,185.563,37.077,473.611,131.657,2.664,2.651,78.452,1.957,0.572778,-47.778,0.74,0.736389
20010,20.068,15.256,21.804,0,47.058,0,17.439,0,0,0,-4.879,-5.03,33.435,57.06,58,52.929,10.712,10.5,36.343,2.07,57.06,9.593,-4.879,69.922,185.563,37.077,473.958,131.657,2.667,2.655,78.445,1.963,0.575,-47.8466,0.740833,0.7375
20011,20.098,15.293,21.833,0,47.058,0,17.454,0,0,0,-4.897,-5.03,33.458,57.093,58,52.832,10.711,10.5,36.365,2.079,57.093,9.583,-4.876,69.922,185.563,37.077,474.609,131.576,2.665,2.646,78.422,1.972,0.5775,-47.8172,0.740278,0.735
20012,20.112,15.293,21.833,0,47.058,0,17.468,0,0,0,-4.876,-5.03,33.484,57.1,58,52.817,10.71,10.5,36.387,2.083,57.1,9.577,-4.89,69.922,185.335,37.077,474.783,131.576,2.663,2.647,78.412,1.976,0.578611,-47.9545,0.739722,0.735278
20013,20.127,15.293,21.833,0,47.043,0,17.468,0,0,0,-4.879,-5.03,33.51,57.104,58,52.812,10.71,10.5,36.364,2.084,57.104,9.58,-4.905,69.922,185.335,37.077,475,131.576,2.655,2.646,78.405,1.976,0.578889,-48.1016,0.7375,0.735
20014,20.142,15.293,21.833,0,47.043,0,17.468,0,0,0,-4.905,-5.03,33.532,57.107,58,52.808,10.709,10.5,36.385,2.082,57.107,9.578,-4.908,69.922,185.335,37.077,475.347,131.576,2.654,2.644,78.398,1.975,0.578333,-48.131,0.737222,0.734444
20015,20.142,15.308,21.848,0,47.043,0,17.49,0,0,0,-4.897,-5.03,33.584,57.107,58,52.815,10.706,10.5,36.427,2.082,57.107,9.587,-4.897,69.922,185.335,37.077,475.564,131.576,2.654,2.642,78.391,1.974,0.578333,-48.0232,0.737222,0.733889
20016,20.171,15.308,21.863,0,47.029,0,17.505,0,0,0,-4.861,-5.03,33.614,57.107,58,52.82,10.705,10.5,36.448,2.08,57.107,9.58,-4.868,69.922,185.335,37.077,476.345,131.543,2.654,2.645,78.386,1.973,0.577778,-47.7388,0.737222,0.734722
20017,20.171,15.337,21.914,0,47.029,0,17.534,0,0,0,-4.861,-5.03,33.614,57.104,58,52.837,10.705,10.5,36.448,2.078,57.104,9.571,-4.879,69.922,185.335,37.077,476.476,131.543,2.654,2.646,78.38,1.971,0.577222,-47.8466,0.737222,0.735
20018,20.186,15.352,21.929,0,47.029,0,17.534,0,0,0,-4.879,-5.03,33.636,57.107,58,52.832,10.703,10.5,36.514,2.078,57.107,9.575,-4.897,69.922,185.335,37.077,476.736,131.429,2.653,2.645,78.375,1.971,0.577222,-48.0232,0.736944,0.734722
20019,20.215,15.381,21.973,0,47.029,0,17.578,0,0,0,-4.905,-5.03,33.675,57.1,58,52.866,10.7,10.5,36.603,2.072,57.1,9.617,-4.868,69.922,185.335,37.077,477.257,131.429,2.656,2.646,78.368,1.965,0.575556,-47.7388,0.737778,0.735
